,index,Rider,Team,Stage,RedLantern,IntermediateSprint,IntermediateKOM,GC,KOM,Sprint,Youth,Points
74,133,TEUNISSEN Mike,Intermarché - Circus - Wanty,29.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,34.0
75,101,NEILANDS Krists,Israel - Premier Tech,30.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,34.0
76,87,LUTSENKO Alexey,Astana Qazaqstan Team,29.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,33.0
77,32,CRAS Steff,TotalEnergies,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
78,66,HOULE Hugo,Israel - Premier Tech,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
79,61,HAIG Jack,Bahrain - Victorious,27.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,29.0
80,98,MØRKØV Michael,Soudal Quick-Step,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
81,130,STUYVEN Jasper,Lidl - Trek,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
82,91,MARTÍNEZ Daniel Felipe,INEOS Grenadiers,19.0,5.0,1.0,22.0,0.0,1.0,0.0,0.0,26.0
83,46,FEDOROV Yevgeniy,Astana Qazaqstan Team,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
84,55,GREGAARD Jonas,Uno-X Pro Cycling Team,18.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,25.0
85,23,CAVAGNA Rémi,Soudal Quick-Step,20.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,25.0
86,43,EEKHOFF Nils,Team dsm - firmenich,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
87,31,CRADDOCK Lawson,Team Jayco AlUla,24.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,24.0
88,26,CHAVES Esteban,EF Education - EasyPost,22.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,23.0
89,143,VAN DER POEL Mathieu,Alpecin - Deceuninck,14.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,22.0
90,146,VAN POPPEL Danny,BORA - hansgrohe,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
91,93,MEINTJES Louis,Intermarché - Circus - Wanty,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
92,132,TEJADA Harold,Astana Qazaqstan Team,18.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,20.0
93,107,PEDRERO Antonio,Movistar Team,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
94,12,BETTIOL Alberto,EF Education - EasyPost,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0
95,135,TILLER Rasmus,Uno-X Pro Cycling Team,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
96,142,VAN DEN BERG Lars,Groupama - FDJ,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
97,34,DE LA CRUZ David,Astana Qazaqstan Team,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0
98,82,LAMPAERT Yves,Soudal Quick-Step,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
99,48,FRISON Frederik,Lotto Dstny,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
100,80,KÜNG Stefan,Groupama - FDJ,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
101,67,IZAGIRRE Gorka,Movistar Team,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
102,76,KRAGH ANDERSEN Søren,Alpecin - Deceuninck,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
103,58,GUARNIERI Jacopo,Lotto Dstny,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
104,62,HALLER Marco,BORA - hansgrohe,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
105,123,SCHULTZ Nick,Israel - Premier Tech,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
106,120,RICKAERT Jonas,Alpecin - Deceuninck,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
107,117,POLITT Nils,BORA - hansgrohe,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
108,38,DEVENYNS Dries,Soudal Quick-Step,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
109,139,URÁN Rigoberto,EF Education - EasyPost,11.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,11.0
110,137,TURGIS Anthony,TotalEnergies,7.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,11.0
111,110,PETIT Adrien,Intermarché - Circus - Wanty,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
112,157,ZINGLE Axel,Cofidis,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
113,30,COSTA Rui,Intermarché - Circus - Wanty,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
114,29,CORT Magnus,EF Education - EasyPost,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
115,19,CALMEJANE Lilian,Intermarché - Circus - Wanty,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0
116,14,BJERG Mikkel,UAE Team Emirates,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
117,4,ARNDT Nikias,Bahrain - Victorious,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0
118,131,SÁNCHEZ Luis León,Astana Qazaqstan Team,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
119,119,RENARD Alexis,Cofidis,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
120,105,PACHER Quentin,Groupama - FDJ,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
121,100,NAESEN Oliver,AG2R Citroën Team,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
122,74,KIRSCH Alex,Lidl - Trek,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
123,57,GROßSCHARTNER Felix,UAE Team Emirates,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
124,148,VERMEERSCH Florian,Lotto Dstny,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
125,104,OSS Daniel,TotalEnergies,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0
126,51,GENIETS Kevin,Groupama - FDJ,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
127,39,DILLIER Silvan,Alpecin - Deceuninck,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
128,2,AMADOR Andrey,EF Education - EasyPost,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0
129,125,SIMMONS Quinn,Lidl - Trek,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
130,112,PICHON Laurent,Team Arkéa Samsic,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,6.0
131,108,PEREZ Anthony,Cofidis,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
132,72,JUUL-JENSEN Christopher,Team Jayco AlUla,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
133,15,BOASSON HAGEN Edvald,TotalEnergies,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,6.0
134,10,BERNAL Egan,INEOS Grenadiers,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
135,147,VERMAERKE Kevin,Team dsm - firmenich,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
136,47,FERRON Valentin,TotalEnergies,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,5.0
137,37,DELAPLACE Anthony,Team Arkéa Samsic,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0
138,35,DECLERCQ Tim,Soudal Quick-Step,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0
139,25,CHARMIG Anthon,Uno-X Pro Cycling Team,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0
140,21,CARAPAZ Richard,EF Education - EasyPost,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
141,145,VAN HOOYDONCK Nathan,Jumbo-Visma,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0
142,128,SOLER Marc,UAE Team Emirates,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
143,96,MOSCON Gianni,Astana Qazaqstan Team,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
144,54,GOGL Michael,Alpecin - Deceuninck,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
145,52,GESCHKE Simon,Cofidis,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
146,42,EDMONDSON Alex,Team dsm - firmenich,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
147,141,VAN BAARLE Dylan,Jumbo-Visma,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0
148,64,HERMANS Quinten,Alpecin - Deceuninck,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
149,138,TURNER Ben,INEOS Grenadiers,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
150,99,MÜHLBERGER Gregor,Movistar Team,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
151,75,KONRAD Patrick,BORA - hansgrohe,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
152,41,DURBRIDGE Luke,Team Jayco AlUla,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
153,126,SINKELDAM Ramon,Alpecin - Deceuninck,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
154,103,OLIVEIRA Nelson,Movistar Team,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
155,40,DINHAM Matthew,Team dsm - firmenich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
156,36,DEGENKOLB John,Team dsm - firmenich,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
157,109,PETERS Nans,AG2R Citroën Team,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
